id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
375799,Luxury apartment : London/Wimbledon,1889832,Glynis,,Kingston upon Thames,51.40295807,-0.250435827,Entire home/apt,80,7,50,19/09/2016,0.94,2,355
6605941,Edwardian 4 bed House - SW London,20791488,Alison,,Kingston upon Thames,51.40521115,-0.248702872,Entire home/apt,100,5,3,31/07/2016,0.21,1,0
9802840,Beautiful River Side duplex,45794381,Tamara,,Kingston upon Thames,51.40728394,-0.308381525,Entire home/apt,125,1,16,22/09/2016,2.19,1,81
15158420,"Stunning, cosy 3 bed flat in Kingston centre",72921587,Amber,,Kingston upon Thames,51.41030737,-0.296647264,Entire home/apt,147,1,4,29/09/2016,4,1,87
11183483,Grove Apartment Kingston,40901898,Leonardo,,Kingston upon Thames,51.40060831,-0.298152429,Entire home/apt,85,2,14,16/09/2016,2.03,3,168
9456214,1 Bedroom flat in Kingston,49002651,Ross,,Kingston upon Thames,51.40834551,-0.290534004,Entire home/apt,65,1,4,01/08/2016,0.43,1,11
13913318,Family home in Kingston,12746564,Camilla,,Kingston upon Thames,51.41765021,-0.294045498,Entire home/apt,90,3,0,,,1,41
8588828,Apartment 15 minutes from London,20023995,Leonor,,Kingston upon Thames,51.38975902,-0.304433123,Entire home/apt,100,5,0,,,2,17
14010349,2 Bed Riverside Penthouse Flat,77207435,Jacqui,,Kingston upon Thames,51.41291794,-0.306800542,Entire home/apt,265,2,0,,,1,365
5483827,Sunny flat beckons for Easter break,28439533,Charlotte,,Kingston upon Thames,51.4062027,-0.263097658,Entire home/apt,72,5,0,,,1,0
13955343,Riverside retreat with great links to London,8163110,Michelle,,Kingston upon Thames,51.42794949,-0.310634268,Entire home/apt,85,2,2,11/09/2016,2,1,10
8167611,2 bed flat in Surbiton,18466685,Alex,,Kingston upon Thames,51.39773516,-0.294033806,Entire home/apt,80,2,0,,,1,0
11289582,Flat in New Malden NR wimbledon,55529657,Mike,,Kingston upon Thames,51.40028813,-0.273067797,Entire home/apt,57,1,0,,,1,0
13268400,Cosy 1 bed flat central Kingston,70450161,Victoria,,Kingston upon Thames,51.40605505,-0.302819159,Entire home/apt,68,5,4,24/08/2016,1.29,1,102
10898495,4 bed house Wimbledon,33889201,Tom,,Kingston upon Thames,51.41580688,-0.258499932,Entire home/apt,575,3,0,,,607,59
15095092,Luxury Spacious Family Mansion: Gardens & Golf,33208909,Iliya & Joselle,,Kingston upon Thames,51.41742727,-0.257280837,Entire home/apt,601,2,0,,,3,336
13989731,Lovely family house central Kingston upon Thames,83012951,Duncan,,Kingston upon Thames,51.4105043,-0.297898687,Entire home/apt,84,1,0,,,1,0
14344671,Cosy and Bright flat with parking!,15082436,Paolo & Lia,,Kingston upon Thames,51.41126371,-0.29493634,Entire home/apt,75,5,2,13/09/2016,2,2,105
5796403,Comfortable Studio London/Wimbledon,1889832,Glynis,,Kingston upon Thames,51.40240649,-0.251452556,Entire home/apt,60,4,19,21/08/2016,1.17,2,326
7515814,Relaxing Garden Apartment,26371060,Ana,,Kingston upon Thames,51.41355381,-0.296375888,Entire home/apt,59,2,32,16/09/2016,2.24,1,336
10820812,4 Bed family home Surbiton London,35215305,Barry,,Kingston upon Thames,51.39700578,-0.295498485,Entire home/apt,251,4,4,28/08/2016,1.54,1,339
13672765,Independent Bungalow,68553935,Kerri,,Kingston upon Thames,51.41140736,-0.28885519,Entire home/apt,80,2,7,28/09/2016,2.63,1,76
9347974,"Lovely, quiet 2 bed near London",14390004,Nick,,Kingston upon Thames,51.38894254,-0.299674449,Entire home/apt,89,1,5,19/09/2016,1.76,1,345
9417632,Luxury Two Bedroom Apartment,44854420,Daniel,,Kingston upon Thames,51.39790311,-0.299546128,Entire home/apt,241,1,1,09/05/2016,0.2,1,365
13612722,"Garden Flat, close to Surbiton train station",55501592,Steven,,Kingston upon Thames,51.39239512,-0.305840744,Entire home/apt,65,1,3,02/10/2016,1.34,1,55
13483490,Family  house + with a lovely garden,3775521,Will,,Kingston upon Thames,51.41089158,-0.295169479,Entire home/apt,59,7,0,,,1,68
7416507,London 2 Bed Apartment with balcony,10245600,Gemma,,Kingston upon Thames,51.42106822,-0.280992366,Entire home/apt,79,4,6,22/05/2016,0.43,1,10
13187256,Thames view of Queens Promenade,37333526,Ian,,Kingston upon Thames,51.39828934,-0.309186159,Entire home/apt,193,1,0,,,1,361
4036141,Funky Family Home in KT2,20926404,Helen,,Kingston upon Thames,51.4141062,-0.295913596,Entire home/apt,275,2,15,10/07/2016,0.64,1,326
13862453,"Modern & Luxurious Apartment near station, shops",78038208,Sammy,,Kingston upon Thames,51.39235679,-0.308950211,Entire home/apt,150,1,1,16/09/2016,1,2,88
8337869,"Beautiful, Contemporary Apartment",43950945,Eszter,,Kingston upon Thames,51.40807172,-0.295094272,Entire home/apt,122,4,8,18/09/2016,1.29,1,162
13577025,Entire 2 bed/1 sofabed newly refurbished apartment,45469611,Charlie,,Kingston upon Thames,51.41189346,-0.306083499,Entire home/apt,150,7,1,15/08/2016,0.6,2,23
5589592,Coombe Cottage,28980680,Charles,,Kingston upon Thames,51.40726842,-0.257108734,Entire home/apt,70,1,52,28/09/2016,2.85,1,287
14895968,Kingston Edwardian House near river Thames,63262651,Andrea,,Kingston upon Thames,51.41760244,-0.303774764,Entire home/apt,80,2,1,27/09/2016,1,1,71
7491348,3bed apartment - view over Thames,39234812,Lene,,Kingston upon Thames,51.40775504,-0.30776783,Entire home/apt,185,4,12,28/09/2016,0.95,1,186
12967298,Little hanging gardens of Esio Trot,30134639,Claire,,Kingston upon Thames,51.385601,-0.296020481,Entire home/apt,89,1,2,05/06/2016,0.45,1,174
1836056,Kingston onThames Viceroy Apartment,1794020,Martin,,Kingston upon Thames,51.39649689,-0.305171229,Entire home/apt,99,4,18,16/09/2016,0.61,2,227
