,LSOA,Assault With Injury,Common Assault,Harassment,Murder,Offensive Weapon,Other Violence,Personal Property,Theft Person,Wounding/GBH
0,E01000006,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
1,E01000007,5.0,5.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0
2,E01000008,1.0,7.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
3,E01000009,2.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0
4,E01000010,10.0,10.0,13.0,0.0,1.0,2.0,5.0,8.0,3.0
5,E01000011,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
6,E01000012,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
7,E01000013,3.0,6.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0
8,E01000014,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
9,E01000015,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
10,E01000016,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,E01000017,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12,E01000018,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
13,E01000019,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
14,E01000020,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
15,E01000021,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,E01000022,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17,E01000023,2.0,5.0,6.0,0.0,0.0,0.0,5.0,3.0,2.0
18,E01000024,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
19,E01000025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,E01000027,1.0,2.0,5.0,0.0,0.0,1.0,3.0,0.0,1.0
21,E01000028,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,E01000029,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,E01000030,1.0,2.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0
24,E01000031,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
