id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2336771,by The River Thames. peaceful locat,2030713,Roz,,Kingston upon Thames,51.42607689,-0.307017974,Private room,60,1,16,19/07/2016,0.54,1,365
1953238,Sunny Double bedroom - Wifi included!,10097876,Sarah,,Kingston upon Thames,51.38571297,-0.248609493,Private room,28,1,5,02/08/2016,0.19,1,137
3981658,Cosy house in a lovely London area,3086158,Verma,,Kingston upon Thames,51.38829219,-0.2446736,Private room,45,1,5,02/07/2015,0.2,2,365
8882332,Gorgeous room near Kingston,46478469,Jacqueline,,Kingston upon Thames,51.40911701,-0.252447146,Private room,50,1,0,,,1,365
14296637,Double room in cozy friendly flat ;-),34769575,Patrick,,Kingston upon Thames,51.42132259,-0.278367186,Private room,23,1,2,10/09/2016,2,1,115
13995422,White House Ensuite R1,83582172,Grace,,Kingston upon Thames,51.36099788,-0.309800895,Private room,55,2,2,14/07/2016,0.73,4,363
7031432,Ground floor bedroom in Kingston,36862552,Andrew,,Kingston upon Thames,51.42833469,-0.303721243,Private room,47,1,0,,,1,0
10794498,Kingsize Bedroom in Great Flat,31551389,Anton,,Kingston upon Thames,51.41271812,-0.301516099,Private room,45,1,12,15/09/2016,1.67,1,72
9922797,Room for rent while I am in Denmark,38452731,Emil,,Kingston upon Thames,51.39979831,-0.267869618,Private room,20,7,0,,,1,0
1792110,Smart and simple large double room,9402045,Edward,,Kingston upon Thames,51.40195636,-0.265729999,Private room,36,16,6,30/05/2015,0.22,3,0
10913940,Single and Double room available,56570372,Chelsea,,Kingston upon Thames,51.4069586,-0.259793432,Private room,23,1,0,,,1,0
8574194,Stylish loft room in Kingston,26485806,Nasreen,,Kingston upon Thames,51.41447467,-0.294623953,Private room,85,1,3,13/08/2016,0.25,2,365
487783,"Cosy Twin Bedroom, Kingston Town Centre, SW London",2413601,Claire &  Alan,,Kingston upon Thames,51.41848141,-0.303563519,Private room,38,2,63,14/09/2016,1.24,2,303
3059848,Kingston d/b over looking garden,3534259,Lavinia,,Kingston upon Thames,51.41713086,-0.282615838,Private room,70,1,0,,,3,358
13190645,Grace House,21951870,Joanne,,Kingston upon Thames,51.39404211,-0.255944611,Private room,40,1,0,,,1,365
4320006,Large double room with breakfast,6543906,Sug Joon,,Kingston upon Thames,51.38837337,-0.259560681,Private room,50,2,3,04/07/2015,0.13,4,82
14394507,Modern double room with great view,41351620,Marina,,Kingston upon Thames,51.4131693,-0.304481222,Private room,45,1,0,,,1,364
11093420,Double room with ensuite bathroom,52632402,Roz,,Kingston upon Thames,51.40823431,-0.291167335,Private room,50,1,6,25/09/2016,0.76,2,365
2032290,"Room in lovely, peaceful flat.",10433380,Gillian,,Kingston upon Thames,51.39972001,-0.303018015,Private room,35,1,44,04/09/2016,1.39,1,355
13553348,Beautiful Double Room in Great location,77455144,Eda,,Kingston upon Thames,51.38310741,-0.293135589,Private room,35,2,3,11/09/2016,0.96,2,359
4419140,Double bedroom,22913585,Lorna,,Kingston upon Thames,51.42911323,-0.258758641,Private room,70,1,2,09/09/2015,0.09,1,365
5536091,Large room by Kingston Station,28704848,Martin,,Kingston upon Thames,51.41382868,-0.301638222,Private room,35,1,9,18/09/2016,0.51,1,352
4019014,Two lovely rooms in a family home,20838021,Anita,,Kingston upon Thames,51.41095323,-0.270567861,Private room,35,2,6,13/09/2016,0.25,1,359
11653764,"Quiet room, convenient location.",15815152,Lauren,,Kingston upon Thames,51.39643232,-0.296843631,Private room,32,1,12,01/10/2016,2.69,1,145
5565729,Large Bright Double Bedroom KT2,26759114,Christian,,Kingston upon Thames,51.41064971,-0.292585778,Private room,35,4,1,10/06/2015,0.06,3,0
6179409,Double bedroom with private bathroom in Kingston,32033043,Charlie And Lee,,Kingston upon Thames,51.4185371,-0.282554482,Private room,54,1,19,23/09/2016,1.25,1,347
6443494,A country house in the town,30798165,Monica,,Kingston upon Thames,51.36923225,-0.30739825,Private room,54,1,0,,,1,0
