Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime Type,Last outcome category,Context
99a70d1698840454cec043817c6b483748e9a0d6ddd93a1a7213539f4dce0108,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.134947,51.588063,On or near Mead Grove,E01000027,Barking and Dagenham 001A,Robbery,Investigation complete; no suspect identified,
8ea0db8d2ec5f437388390aaf3a85de0bfea0d9f7d3aef5a8118e4ccbce59ec0,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.135554,51.584985,On or near Rose Lane,E01000027,Barking and Dagenham 001A,Robbery,Investigation complete; no suspect identified,
ebbe78422c29b6d80d6209d9b6541f87da04d83469a34f23df19997201563fb3,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.135554,51.584985,On or near Rose Lane,E01000027,Barking and Dagenham 001A,Robbery,Status update unavailable,
440eced2b012d88704d5c8fb3d72789f0e3e050b6c094d994b678caabecc42c6,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.136387,51.589215,On or near Billet Road,E01000027,Barking and Dagenham 001A,Robbery,Investigation complete; no suspect identified,
652987bf742a209a0011a1c9890ffb09732ed26989ad5b1cd1a362e42dfc68f3,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.136908,51.580941,On or near Eastern Avenue West,E01000030,Barking and Dagenham 001D,Robbery,Status update unavailable,
b1be0adaff331f66a12b216f627f496b991e5c2e156c9b2a80b79302dd7f17f4,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.14499,51.572934,On or near Petrol Station,E01000110,Barking and Dagenham 002C,Robbery,Investigation complete; no suspect identified,
fc8c4b15d851ce8d6e598349d76afdc013a3d569ab6148c4959698cecc435956,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.14524,51.566607,On or near Whalebone Lane South,E01000111,Barking and Dagenham 002D,Robbery,Investigation complete; no suspect identified,
62edbfc10a0311ad94575e54eccbe6c36804edcd4c82893e329787ee0c6c48cd,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.145556,51.567789,On or near Limbourne Avenue,E01000111,Barking and Dagenham 002D,Robbery,Investigation complete; no suspect identified,
223657728daa480f65975322f8b192f8f724c2777fc9a4f6a3d5ca1f683abee7,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.130894,51.569935,On or near Herbert Gardens,E01000113,Barking and Dagenham 002F,Robbery,Status update unavailable,
afa2907cb514ea61bc4394bbf595d3cc486a1f13d8c41e3bc2c6c492c198c026,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.174477,51.560314,On or near Further/Higher Educational Building,E01000034,Barking and Dagenham 003A,Robbery,Awaiting court outcome,
afa2907cb514ea61bc4394bbf595d3cc486a1f13d8c41e3bc2c6c492c198c026,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.174477,51.560314,On or near Further/Higher Educational Building,E01000034,Barking and Dagenham 003A,Robbery,Status update unavailable,
afa2907cb514ea61bc4394bbf595d3cc486a1f13d8c41e3bc2c6c492c198c026,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.174477,51.560314,On or near Further/Higher Educational Building,E01000034,Barking and Dagenham 003A,Robbery,Status update unavailable,
cd2e0f817fe57244913aea05326b9ffc3ae214908931fa7732f9415b85c32443,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.176249,51.559957,On or near Lupin Close,E01000037,Barking and Dagenham 003B,Robbery,Court result unavailable,
7ea38b221ac8ae07e515779e00841bbfbb40d2030a4552f999514f90cbcfa587,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.178464,51.563135,On or near Lincoln Avenue,E01000037,Barking and Dagenham 003B,Robbery,Investigation complete; no suspect identified,
461b5a22245080013e581065d11cae6313649a74865bbe56ec2efb0a4923fd49,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.169286,51.562793,On or near Legon Avenue,E01000038,Barking and Dagenham 003C,Robbery,Status update unavailable,
fe502916734010b9d9fdc29d04f3b485ad4fcd992e1a91473b6b0c457c1256be,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.172381,51.562646,On or near Fourth Avenue,E01000038,Barking and Dagenham 003C,Robbery,Status update unavailable,
