Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
586aa3b0a83c20a2d2e6138506d8515ec57b6c0946b0444c325d89dfbbdf9bfa,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.134864,51.571806,On or near Supermarket,E01000032,Barking and Dagenham 002B,Theft from the person,Status update unavailable,
8199e3ee6269621ea9ad41a36317697acce09190bc9e8ef1d0bd86059d109c1b,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.130894,51.569935,On or near Herbert Gardens,E01000113,Barking and Dagenham 002F,Theft from the person,Status update unavailable,
7f9ce540515b29489a7fd377bc306f64a0e9bec4033db763d48faf3d043d0e80,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.175537,51.564683,On or near Supermarket,E01000038,Barking and Dagenham 003C,Theft from the person,Investigation complete; no suspect identified,
ff9638c93e4828a9ea722d33b947daf0e3b240a71cae13e1d6a8c347dd4dc39b,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.145998,51.563698,On or near Petrol Station,E01000114,Barking and Dagenham 004E,Theft from the person,Status update unavailable,
9b5915feeca0fd913a201568581a67645fca9af296a8330ad10b9e4fb98d03a5,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.148434,51.559364,On or near Supermarket,E01000060,Barking and Dagenham 006B,Theft from the person,Status update unavailable,
9f48709dc3f8d6823f81b5256bde935c2af76581342063a4df978d3779e6cfbd,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.136552,51.555804,On or near Charlecote Road,E01000102,Barking and Dagenham 007G,Theft from the person,Investigation complete; no suspect identified,
06ffe4923d381af0324e7f147bdcf3797a9b20dfa1cdb911dba11c0b09ab5743,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.112726,51.549706,On or near Sports/Recreation Area,E01000023,Barking and Dagenham 008C,Theft from the person,Status update unavailable,
9db6a8f7c75773e5c30bcb5bffdb5af38cf5197a50bf0fa98153e010522a404d,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.113706,51.5503,On or near Lodge Avenue,E01000023,Barking and Dagenham 008C,Theft from the person,Awaiting court outcome,
ae6ef8481e0ebcd30119d68d9607f376258c2f46eaf84881410b969ab371e3a7,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.148445,51.545218,On or near Pettit'S Place,E01000018,Barking and Dagenham 009D,Theft from the person,Status update unavailable,
a37aa851962a41a0a2293d4b37bd3de321dc8f72a3440d43a1cf83539dbb3bc0,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.161706,51.546863,On or near Surrey Road,E01000036,Barking and Dagenham 010B,Theft from the person,Investigation complete; no suspect identified,
f62c857e3ee462f9627a547db1065fe1fa0561733fa3fda1eae39d0541298ef1,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.127913,51.539459,On or near Supermarket,E01000057,Barking and Dagenham 012A,Theft from the person,Status update unavailable,
0ad57c792e3c196c78481c3ab685ac2453a136ccfb2bbe81f6841661ff50677a,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.147969,51.541234,On or near Heathway,E01000084,Barking and Dagenham 013D,Theft from the person,Status update unavailable,
a93fd0add7fb3c14e86f424641c5a45e9ca2ddfbbc761a24333d4a3770c46f11,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.148904,51.537512,On or near Ford Road,E01000085,Barking and Dagenham 013E,Theft from the person,Investigation complete; no suspect identified,
1e4e03b7cb3cb8d6e50c50e43ba17c659d1b909033b0c4c026b874b5b38a26bc,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.147182,51.53677,On or near Comyns Road,E01000086,Barking and Dagenham 013F,Theft from the person,Status update unavailable,
21c1a9ad490df6902de082bc61004610b61b3fe627121aac4963e5c9ca08ba00,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.148729,51.540842,On or near Shopping Area,E01000105,Barking and Dagenham 014C,Theft from the person,Investigation complete; no suspect identified,
e4a434dc5fa070b1400f3353fd523cd9fc4551379d360033de49b6066d234636,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.080477,51.539024,On or near Supermarket,E01000007,Barking and Dagenham 015A,Theft from the person,Status update unavailable,
f1213d5f0ec2fc97218fb17a812be2a95c02f6091cd0c95d7a831229aa08d76a,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.080477,51.539024,On or near Supermarket,E01000007,Barking and Dagenham 015A,Theft from the person,Investigation complete; no suspect identified,
b82bd854bf7a0e8568ee791c4a1f1e416241bf748606f37e9acca48c47341d11,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.080059,51.53744,On or near Police Station,E01000010,Barking and Dagenham 015C,Theft from the person,Investigation complete; no suspect identified,
2a3bba1a454c10b5c9c36288cbec7c1c16c1cfffea94bd38671777dc4a654d0f,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.080758,51.538848,On or near Station Parade,E01000010,Barking and Dagenham 015C,Theft from the person,Status update unavailable,
161866c950b5083ce67c692299259de2b28dbecc6b8d00f1f28ca8e088c256f5,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.080758,51.538848,On or near Station Parade,E01000010,Barking and Dagenham 015C,Theft from the person,Status update unavailable,
eb198ff5da918ec8651305bed6aec79d96d8eae876af404a10c7222d882f29c2,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.080758,51.538848,On or near Station Parade,E01000010,Barking and Dagenham 015C,Theft from the person,Status update unavailable,
637171de5ad8167ffcb142b774abddeb6c21b2f438141ad1eb05ffd6e26a56af,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.081233,51.537895,On or near Shopping Area,E01000010,Barking and Dagenham 015C,Theft from the person,Status update unavailable,
0d1b9c3cb8544ad6c144dc5cfc9003b7e19fa40db72229476abc56b85273df92,2017-07,Metropolitan Police Service,Metropolitan Police Service,0.081233,51.537895,On or near Shopping Area,E01000010,Barking and Dagenham 015C,Theft from the person,Status update unavailable,
